,番号,jRCT登録ID番号https://jrct.niph.go.jp,先進医療技術名,適応症,技術の概要
K,34,jRCTs031180073,トラスツズマブ静脈内投与及びドセタキセル静脈内投与の併用療法,乳房外パジェット病（HER2が陽性であって、切除が困難な進行性のものであり、かつ、術後に再発したもの又は転移性のものに限る。）,　切除不能な進行期乳房外パジェット病に対して、トラスツズマブ、ドセタキセル2剤を投与し、その効果と安全性を評価する。いずれも乳癌における治療と同様に21日を1クールとし、3クール時に評価する。11例を対象とした単群・オープン試験である。
K,35,jRCTs031180008,術後のカペシタビン内服投与及びオキサリプラチン静脈内投与の併用療法,小腸腺がん（ステージがI期、II期又はIII期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,治癒切除後病理学的Stage I/II/III小腸腺癌を対象に、手術単独群に対し術後化学療法群の無再発生存期間（RFS：relapse-free survival）が優位に優るかを判断する。
K,36,jRCTs051180199,Ｓ－1内服投与並びにパクリタキセル静脈内及び腹腔内投与の併用療法,膵臓がん（遠隔転移しておらず、かつ、腹膜転移を伴うものに限る。）,"他臓器に遠隔転移のない画像上局所進行膵癌に対して審査腹腔鏡検査もしくはバイパス手術を行い、腹膜播種や腹腔洗浄（腹水）細胞診陽性を病理学的に診断する。腹腔内投与ルート作成のために、腹壁ポートを留置する治療開始後21日間を1コースとし、S-1は80mg/m2を14日間内服、7日間休薬。パクリタキセルは第1, 8日目に50mg/m2を経静脈投与、20mg/m2を腹腔内投与。1週間休薬後コースを繰り返す。プロトコールを遵守して、治療を継続する。病勢悪化、重篤な有害事象、患者の希望などのあるときにはプロトコール治療を中止もしくは終了する。試験期間中に根治切除が行われた場合、術後も当該治療を継続する。"
K,37,jRCTs041180079,Ｓ－1内服投与、シスプラチン静脈内投与及びパクリタキセル腹腔内投与の併用療法,腹膜播種を伴う初発の胃がん,"本試験は、腹膜播種陽性の初発胃癌症例を対象として、S-1／シスプラチン＋パクリタキセル腹腔内投与併用療法の有効性と安全性を評価することを目的とする。35日を1コースとして、S-1 80mg/m2を21日間内服、14日間休薬し、シスプラチン60mg/m2を第8日目に点滴静注、パクリタキセル20mg/m2を第1, 8, 22日目に腹腔内投与する。本療法は腫瘍進行が確認されるか、有害事象により継続困難となるまで反復する。"
K,38,jRCT1032180197,陽子線治療,根治切除が可能な肝細胞がん（初発のものであり、単独で発生したものであって、その長径が三センチメートルを超え、かつ、十二センチメートル未満のものに限る。）,根治切除可能な初発・単発・結節型肝細胞癌患者を対象として、標準治療である外科的切除に対して、試験治療である陽子線治療が全生存期間で劣っていないことを非ランダム化同時対照試験により検証する。
K,39,,,-,-
K,40,jRCTc071190041,シクロホスファミド静脈内投与及び自家末梢血幹細胞移植術の併用療法,全身性強皮症（ステロイド又は少なくとも一種類のステロイド以外の免疫抑制剤に抵抗性を有するものに限る。）,全身性硬化症のうち高度のびまん性皮膚硬化と内臓病変を有する重症例の5年生存率は50－60％と予後不良であり、また皮膚硬化や間質性肺炎による呼吸困難などのため日常生活の質は著しく低下する。これらの症例を治癒、寛解に導くために全身性硬化症において病態形成に大きな役割を持つ、自己反応性リンパ球を体内より一掃するため、大量免疫抑制療法に引き続き自己造血幹細胞移植を行う。具体的には、まずシクロホスファミド4g/m2と顆粒球・コロニー刺激因子(G-CSF)を用いて、造血幹細胞の骨髄より末梢血中への動員を行う。アフェレーシスによって造血幹細胞を含む末梢血単核球を採取後、自己反応性リンパ球を除去する目的でCliniMACSシステムを用いてCD34陽性細胞すなわち造血幹細胞を免疫学的に分離する。移植前治療としてシクロホスファミド200mg/kgの投与を行う事により自己反応性リンパ球の根絶を目指す。シクロホスファミドの大量免疫抑制療法は骨髄破壊的であるため、アフェレーシスで採取したCD34陽性細胞(2x106/kg以上)の移植によって骨髄レスキューを行う。このようにCD34陽性細胞に純化した後に移植すると、CD34陽性細胞すなわち造血幹細胞より再構築された免疫系は自己寛容が回復する(自己に反応しない)と考えられる。自己造血幹細胞移植は九州大学病院内の無菌病棟において、造血幹細胞移植に習熟した血液専門医と膠原病専門医が共同で行う。
K,41,"jRCTb050190082
",自家骨髄単核球移植による下肢血管再生治療,バージャー病（従来の治療法に抵抗性を有するものであって、フォンタン分類III度又はIV度のものに限る。）,バージャー病に対する自家骨髄単核球細胞を用いた下肢血管再生治療に関する臨床試験
K,42,jRCTs031180331,ニボルマブ静脈内投与及びドセタキセル静脈内投与の併用療法　,進行再発非小細胞肺がん（ステージがIIIB期、IIIC期若しくはIV期又は術後に再発したものであって、化学療法が行われたものに限る。）,試験方法は以下の通りである。[1] 既治療の進行・再発と診断された非小細胞肺癌症例に対して文書同意を得た後、本研究に登録する。[2] データセンターで、標準治療（A 群：ニボルマブ単剤療法）又は試験治療（B 群：ニボルマブ＋ドセタキセル併用療法）に無作為割り付けされる。[3] 標準治療（A 群：ニボルマブ単剤療法）に割り付けられた場合、ニボルマブを2 週間毎で投与を行う。[4] 試験治療（B 群：ニボルマブ＋ドセタキセル併用療法）に割り付けられた場合、ドセタキセルを4 週間毎、ニボルマブを2 週間毎で投与を行う。[5] この治療を中止規準に該当するまで繰り返す。主要評価項目は、全生存期間の比較である。
K,43,jRCTs031180009,術後のアスピリン経口投与療法　,下部直腸を除く大腸がん（ステージがIII期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,Stage III（UICC-TNM 第 7 版）の下部直腸を除く大腸癌［結腸（C、A、T、D、S）、直腸 S 状部（RS）、上部直腸（Ra）］の治癒切除患者を対象とし、術後補助療法として低用量アスピリンを併用することが、プラセボに対して、無病生存期間において優れていることを検証する。主要評価項目：無病生存期間副次評価項目：全生存期間、無再発生存期間、有害事象発生割合、重篤な有害事象発生割合予定試験期間：登録期間：3 年。追跡期間：登録終了後 6 年（主たる解析は登録終了後 3 年の時点で行う）。解析期間：1 年。総研究期間：10 年予定症例数：A 群（術後補助化学療法＋試験薬（プラセボ））440 名、B 群（術後補助化学療法＋試験薬（アスピリン））440 名の計 880 名治療：術後補助化学療法＋プラセボ/アスピリンプラセボ/アスピリン：1 日 1 回 1 錠（100 mg）、連日内服する。内服期間は 3 年とする。pStage IIIA/IIIB ではカペシタビン療法、pStage IIIC ではオキサリプラチン併用療法（mFOLFOX6療法、または CAPOX 療法）を行うことを原則とする。ただし、患者希望により、pStage IIIA/IIIB に対するオキサリプラチン併用療法（mFOLFOX6 療法、または CAPOX 療法）、pStage IIIC に対するカペシタビン療法も許容する。
K,44,jRCTs031180038,TRPV2阻害薬経口投与療法,心不全（十三歳以上の患者に係るものであって、筋ジストロフィーによるものに限る。）,本研究に同意した心不全筋ジストロフィー患者(BNP100pg/ml 以上)20 例に、トラニラスト300mg/day を28 週間投与、28 週時点で継続投与の同意を再確認できた患者ではさらに116 週間投与を継続。BNP 低下や心機能改善、心イベント減少などの効果が見られるか、安全性に問題が無いか非盲検単群試験で評価する。
K,45,jRCT1032190165 ,重粒子線治療 ,直腸がん（術後に再発したものであって、骨盤内に限局するものに限る。）,"本試験は、遠隔転移が無い直腸癌術後骨盤内再発で、治癒切除の適応のない症例を対象とし、重粒子線治療の有効性および安全性を評価することを目的とした、多施設共同非盲検単群試験である。炭素イオン線治療（重粒子線治療）は各施設に設置された医用重粒子加速器および照射装置を用い、1 日１回4.6GyE、2 週間で６-８回を原則とし、合計16 回、総線量73.6GyE を照射する。
・主要評価項目：3 年生存率
・副次評価項目：局所制御期間、全生存期間、無増悪生存期間、費用対効果、uality of Life(QOL)の評価、有害事象
・予定試験期間：５年(登録期間：２年、観察期間３年)
・予定症例数：32 例"
K,46,,,-,-
K,47,,マルチプレックス遺伝子パネル検査 ,難治性固形がん(ステージがⅢ期若しくはⅣ期で手術が不能なもの又は治療後に再発したものであって、治療法が存在しないもの又は従来の治療法が終了しているもの若しくは従来の治療法が終了予定のものに限り、肉腫を除く。）,"本研究は、本技術の性能を探索的に評価するために、大阪大学医学部附属病院及び協力医療機関において、16 歳以上で全身状態良好（ECOG performance status:0-1）の治癒切除不能の進行・再発の難治性固形癌を有し、標準治療がない、標準治療が終了している、もしくは終了が見込まれる患者で、説明・同意文書で同意を得た患者を対象とする。
がん組織のホルマリン固定パラフィン包理（FFPE）ブロックを研究試料とする。本がん遺伝子パネル検査を次世代シーケンサー（Ion PGM TM Dx Sequencer）で行うことにより、個々の患者の治療選択のための検査としての臨床的有用性について検討する。"
K,48,,"腎悪性腫瘍手術により摘出された腎臓を用いた腎移植
 ",末期腎不全(慢性維持透析が困難なものに限る。）,　修復腎移植を希望する腎不全患者を登録する。病気腎を有し、腎摘出を希望する患者が摘出腎を提供する意思が確認できた場合、修復（再建）術を実施した腎を登録患者より公正公平に選定された腎不全患者（レシピエント）に移植する。
K,49,"jRCTs031180099
 ","切除支援のためのマイクロコイル併用気管支鏡下肺マッピング法
 ",微小肺病変,"　適格基準を満たした患者に対して、手術前々日～当日の間に、気管支鏡下にインジゴカルミン、および血管塞栓用マイクロコイルを用いたマーキングを施し手術に臨む。主要評価項目は、微小肺病変切除成功率(2㎝以上または腫瘍最大径以上の切除マージンを確保した切除)と定義する。副次評価項目として、マッピングの有効性、マッピング支援下で行う手術の有効性、および安全性を評価する。
マッピングの際は、CTに基づきバーチャル気管支鏡を用いてマッピングに利用する気管支を事前に同定し、計画を立てる。手術前々日～当日の間に、局所麻酔または全身麻酔下に、所定の気管支の枝に気管支鏡を誘導しカテーテルを使って色素噴霧及びマイクロコイル留置を行う。続いてCTを撮影し実際のマーキングと病変の位置関係を確認し手術に備える。手術は原則、胸腔鏡下に行い、術式は縮小手術(部分切除または区域切除)とするが、登録後に手術方針が変わった場合や予想外の術中所見が見られた場合などは、患者に最も適切と考えられる手術・治療を施す。"
K,50,"jRCTs032180138
 ","反復経頭蓋磁気刺激療法
 ",薬物療法に反応しない双極性障害の抑うつエピソード,"
　反復経頭蓋磁気刺激は、刺激装置本体と刺激コイルから構成される。8 の字型の刺激コイルに約 200 μsの瞬間的な電流が流れ、コイル周囲に磁場が生じる。その磁場に伴って渦電流が生じ、この渦電流が脳内のニューロンを発火させる。うつ病、双極性うつ病では、情動に関連した領域である扁桃体や脳梁膝下部の過活動が認められ、それに引き続き、左前頭前野が機能不全となると考えられる。反復経頭蓋磁気刺激は、右前頭前野に連続した低頻度刺激を行うことで、膝下部帯状回、前頭葉眼窩野などの情動に関連した領域の脳血流を減少させ、うつ症状を改善させるとの報告がある。
　当該治療法は、薬物療法に反応しない単極性のうつ病への有効性が示唆されている。治療抵抗性を示す双極性うつ病は、単極性のうつ病よりも患者数が少なく、エビデンスも少ないものの、有効性を示す報告もある。
　本試験は日本うつ病学会のガイドラインで推奨される薬物療法に反応しない双極性障害の抑うつエピソードの患者を対象とする。患者の一次運動野で運動誘発電位を測定し、それを基準に刺激部位、刺激強度を決定する。1 日約 30 分、週 5 日、4 週間の治療を行い、観察期間に移行する。一般的な副作用としては、頭痛、刺激部位の痛み、不快感、筋収縮が 20～40%の頻度で認められる。"
K,51,jRCTb030190166 ,自己軟骨細胞シートによる軟骨再生治療,変形性膝関節症（軟骨欠損を伴うものであって、高位脛骨骨切り術の適応となるものに限る。）,"
　本技術は、変形性膝関節症（高位脛骨骨切り術適応患者）の軟骨欠損に対する治療法である。
①一次登録後、関節鏡検査で軟骨欠損部の面積及びグレードについての適格基準を確認。
②①の基準を満たした被験者を二次登録し、軟骨細胞シート作製のために必要な、膝関節大腿側の非荷重部より患者自身の軟骨組織、滑膜組織を採取する。
③採取組織は、東海大学医学部付属病院からセルシード社 CPCへ運搬し、細胞を単離、3～4週間の培養期間を経て、軟骨細胞シートが作製され、手術日に東海大学医部付属病院へ運搬される。
④高位脛骨骨切り術に併用して RMSC法 （※） により変形性膝関節症の軟骨欠損部を治療する。
⑤検査スケジュールに従って軟骨欠損部の修復具合を定期的に確認する。
（※） RMSC法
・不良組織の切除 (Resection of unhealthy tissue)
・骨髄刺激法でMSCsを誘導 (Marrow Stimulating = MSCs Recruitment)
・軟骨細胞シートで被覆 (covered by Chondrocyte sheets)"
K,52,jRCTb030190142,自家末梢血CD34陽性細胞移植による下肢血管再生療法　 ,下肢閉塞性動脈硬化症(疼痛又は潰瘍を伴う重症虚血を呈するものであって、維持透析治療を行っているものに限る。),"
　維持透析患者で、下肢血管造影にて閉塞性動脈硬化症と診断され、虚血重症度
（Rutherford ）分類で 4～5群に属し、血管形成術 /バイパス術の適応外と診断された症例
を対象とする。再生療法は、予めG-CSF 製剤 400 μg/ m2を 5日間（または白血球数が 75,000/μL 以上に増加するまで）皮下投与し、投与 5日目（または 75,000/μL 以上に増加した日）にアフェレシス (末梢血からの幹細胞等の分離・採取 )を行い、磁気細胞分離機器を用いて CD34 陽 性細胞を分離し調整し、分離細胞 2×102×106個/kg kg（2×102×6個/kg 未満であれば分離細胞の全て）を治療対象肢に筋肉内投与し、移植後 定期的に虚血重症度の改善、疼痛評価、潰瘍サイズの変化をみるものである。"
K,53,"jRCTs032190083
 ","不可逆電気穿孔法
 ",肝細胞がん（肝内における長径三センチメートル以下の腫瘍が三個以下又は長径五センチメートル以下の腫瘍が一個であって、肝切除術又はラジオ波焼灼療法による治療が困難であり、かつChild-Pugh分類による点数が九点以下のものに限る。),"
　肝細胞癌の治療として肝切除術や RFA は有効な治療法であり、本邦において広く行われている。しかし肝機能が悪い症例や高齢者では肝切除の適応にならないことが多い。また RFA も胆嚢、胆管、消化管等の熱に脆弱な組織が腫瘍の近傍にある場合には適応とならない。それらの症例には肝動脈塞栓療法（TACE)が広く行われているが、その治療効果は肝切除やRFAと比べ低いのが現状である。そのためTACEは繰り返し行う必要がある。IRE は RFA と異なり、治療により熱がほとんど発生しないため、それらの熱に脆弱な組織の近傍にある肝細胞癌に対しても実施が可能である。本研究では、肝切除および RFAが困難で、標準治療としてはTACE が適応となる難治性肝細胞癌を対象とし、IRE の有効性を過去の TACE の治療成績と比較することで評価する。
"
K,54,jRCTs031190135,プローブ型共焦点レーザー顕微内視鏡による胃上皮性病変の診断 ,胃上皮性病変,"
　本試験は、先進医療Bの制度下で多施設共同前向き臨床試験にて胃上皮性病変に対するpCLEの診断能を評価し、pCLEの有用性とフルオレセイン静脈投与の適応拡大につながるエビデンスを構築することを目的とする。本試験の適応は、上部消化管内視鏡検査にて組織学的に早期胃癌と診断または疑われる（生検にてGroup4または5）、または、早期胃癌に対して内視鏡治療後（EMRまたはESD）後、40週以上経過している、のずれかを満たす患者である。1次登録は1000例を予定しており、内視鏡検査を実施し未診断の未診断の上皮性病変が発見された患者が2次登録となる。2次登録は250例を予定している。プロトコール検査は 1)標準的検査である白色光非拡大観察、 2)比較的先進な施設で施行されている狭帯域光（Narrow Band Imaging;NBI) 拡大内視鏡観察、3)フルオレセイン（造影剤）静脈投与後のpCLE観察を行い、生検による病理診断を施行する。病理診断が確認されたことをもってプロトコール検査完了となる。その後、動画を用いてオフラインレビュー（中央判定）を行う。本検討のPrimary endpointは、オフラインレビューにおける、未診断の胃上皮性病変（副次病変）に対するpCLEの腫瘍 ・非腫瘍診断の特異度（白色光観察に対する優越性および、狭帯域光（NBI）拡大観察に対する非劣性）である。Secondary endpointはリアルタイム診断（施設判定）における、未診断の胃上皮性病変（副次病変）に対するpCLEの腫瘍・非腫瘍診断の特異度、感度、特異度、陽性的中率、陰陽性的中率、正診率（白色光観察に対する優越性、狭帯域光（NBI）拡大観察に対する非劣性）、pCLE時に用いるフルオレセインの有害事象発生割合、およびオフラインレビュー（中央判定）における、未診断の胃上皮性病変（副次病変）に対するpCLEの腫瘍・非腫瘍診断の感度、陽性的中率、陰性的中率、正診率（白色光観察に対する優越性、狭帯域光（Narrow Band Imaging; NBI）拡大観察に対する非劣性）、リアルタイム診断（施設判定）における、既知の胃上皮性病変(既知病変)に対するpCLEの腫瘍・非診断特異度（ESDをgold standardgoldとした切除範囲診断能）である。
"
K,55,jRCTs031190132,ボツリヌス毒素の膀胱内局所注入療法 ,神経因性排尿筋過活動による膀胱機能障害(五歳以上十八歳未満の患者に係るものに限る。),"
　＜試験薬の使用方法＞
(1) 抗菌薬
　全ての被験者は治療薬投与前に抗菌薬投与を行う。
　抗菌薬の投与は担当主治医の判断に基づいて行うが、投与は施術前、および、施術後
1～ ３日間実施する。
(2) 麻酔
　麻酔は麻酔医による管理の上、全身麻酔で行う。
(3) 試験薬の準備
　A型ボツリヌス毒素を生理食塩水 10mL で溶解する。
(4) 試験薬の投与
　カテーテルを挿入し、膀胱内を空にする。
　膀胱鏡を尿道から挿入し、三角部の約 1cm 上から試験薬の注射を開始する。
　針先は膀胱壁に約2mm 挿入して投与する。膀胱頂部・三角部への投与は避け、少なくとも1cm 以上離す。 1ヶ所につき 0.5mL の試験薬を、合計 20 ヶ所投与する。それぞれの投与間隔は約 1cm を開けて膀胱壁に注入する。
　最後の注入部では生理食塩水で注射針に残っている試験薬をフラッシュし、試験薬の規定量が被験者に完全に投与されるようにする。
"
K,56,jRCTs031190202,イマチニブ経口投与及びペムブロリズマブ静脈内投与の併用療法 ,進行期悪性黒色腫（KIT遺伝子変異を有するものであって、従来の治療法に抵抗性を有するものに限る。）,"　KIT 遺伝子変異を有する進行期悪性黒色腫患者のうち、既存治療に抵抗性を示す患者に対してKIT 阻害薬（イマチニブ ）、抗PD-1 抗体（ペムブロリズマブ）を併用した治療を行い、ペムブロリズマブ投与量を固定した際のイマチニブ の用量を検討し、推奨用量を決定する(第I 相試験)。さらに、推奨用量の併用療法の症例集積を継続し、その有効性と安全性を検討する(第II 相試験)。22 例を対象とした単群・オープン試験である。なお、無効でない症例に関しては継続投与を許容する。
"
K,57,jRCTs052190096,偽腔拡大に対する血管内治療 ,大動脈解離(術後に偽腔が拡大したものに限る。),"　大動脈解離術後の開存した偽腔の血栓化を促進する方法としては、コイル塞栓術や薬物による血栓化も考えられるが一般化していない。一方、腹部大動脈内に残存するエントリーからの血流による胸部大動脈の偽腔の拡大を防止する目的で横隔膜直上の遠位下行大動脈の偽腔内に、鼓状の短いステントグラフトを留置する方法（Candy-Plug 法）が開発された。同法には既存の胸部もしくは腹部用の短いステントグラフトの中央部に展開を制限するように小さな輪となる結紮糸をかけてから留置するのが一般的で、細く残存する内腔はVascular Plug による閉鎖が試みられている。同様の方法として、真腔内に大口径のステントグラフトを留置してバルーンにより偽腔を圧迫もしくは閉塞するまで拡大させる方法（Knickerbocker 法）もあるが一般化していない。
　今回の申請する残りのエントリーの閉鎖方法は、エントリーが腹部主要分枝（腹腔動脈、上腸間膜動脈、腎動脈）の起始部や頸部分枝（頸動脈、鎖骨下動脈）や腸骨動脈内に存在する場合の治療法である。この場合には、小口径のステントグラフトにより閉鎖する方法がすでに報告されており、有用だと考えられている。ただし、本邦での適応は、外傷性の血管損傷、もしくは閉塞性動脈硬化症における浅大腿動脈領域に限定されており、エントリー閉鎖としての適応は取られていないのが現状である。
"
K,58,"jRCTs051190048
",糞便微生物叢移植 ,再発性Clostridioides difficile関連下痢症・腸炎,"　Clostridioides difficile 関連下痢症・腸炎（Clostridioides difficile infection: CDI）は日和見感染であり、一般的に抗菌薬の投与に関連して発生する腸炎である。抗菌剤の投与によって腸内微生物叢が菌交代現象を起こし、異常増殖した Clostridioides difficileの産生する毒素（CD toxin）により発生する。CDI の治療には原因抗菌薬の投与中止、全身状態の管理に加えて、Clostridioides difficile に感受性を有する抗菌薬の経口投与が行われるが、再燃を来し再発となる症例も存在する。これらの再発性もしくは治療抵抗性 CDI に対する治療選択肢として、海外を中心に糞便微生物叢移植（fecal microbiota　transplantation: FMT）の有用性が報告されている。一方で、本邦ではこれまでに十分な検討がなされていない。
　本研究では、治療に難渋する再発性 CDI に対する FMT の有効性・安全性を検討する。FMT にはドナー便より抽出した微生物叢抽出液を用いる。
主要評価項目：再発性 CDI に対する単回の FMT の奏効率
予定登録期間： ～2024 年６月（登録期間：～2022 年 12 月、試験治療期間：～2023
年６月、追跡期間：～2024 年６月）"
K,59,"jRCTs031190223
",周術期デュルバルマブ静脈内投与療法 ,肺尖部胸壁浸潤がん(化学放射線療法後のものであって、同側肺門リンパ節・縦隔リンパ節転移、同一肺葉内・同側の異なる肺葉内の肺内転移及び遠隔転移のないものに限る。),"　肺尖部胸壁浸潤癌（superior sulcus tumor：SST）に対する術前化学放射線療法後の術前後デュルバルマブ療法および手術不能例のデュルバルマブ維持療法の集学的治療の安全性と有効性を検証する。現在の標準治療では、SST の半数以上の患者において増悪が認められる。しかし、SSTが稀少な疾患であるため、積極的な治療開発が行われてこなかった。本試験では、術前後にデュルバルマブを追加することにより、治療成績の向上を期待するものである。
主要評価項目：3 年生存割合
予定登録期間：4 年、追跡期間：登録終了後 5 年、解析期間 1 年、総研究期間：10 年"
K,60, ,マルチプレックス遺伝子パネル検査  ,進行性再発固形がん(非小細胞肺がん、乳がん、胃がん、大腸がん、膵がん又は胆道がんに限る。),"　進行期または再発の悪性腫瘍病変を有し、薬物療法の対象となる非小細胞肺癌、胃癌、大腸癌、乳癌、膵癌、胆道癌の患者を対象として、初回治療時に包括的ゲノムプロファイル検査（OncoGuide TM NCC オンコパネルシステム）を行うことの臨床的有用性を評価する。
・主要評価項目：治療標的となる遺伝子異常（＝actionable な遺伝子異常）に対応する
分子標的薬による治療を受ける患者の割合（コンパニオン診断薬に基づき投与が決定される標準治療となっている治療は除く）
・副次評価項目：Actionable な遺伝子異常を有する患者の割合、全生存期間※、標的治療の無増悪生存期間※、解析成功割合、既存のコンパニオン診断薬による診断結果との一致割合、標準治療終了後の包括的ゲノムプロファイル検査施行割合、ctionable な遺伝子異常に対する分子標的薬を用いた治験への登録割合※本研究と同様の適格規準を満たすとともに初回治療時に包括的ゲノムプロファイル検査を行わない患者集団を対象とした観察研究と比較する。
・予定登録期間：総研究期間 3.5 年（登録期間 1 年、観察期間 2 年、解析期間 0.5 年）
・予定症例数：がん種問わず 200 例（各がん種最低 10 例、最大 60 例）
"
K,61,jRCTs052200017,肺動脈自律神経叢除神経療法 ,肺高血圧症(薬物療法に抵抗性を有するものに限る。),"PADNはカテーテル室にて局所麻酔下で実施される。 大腿静脈からリングカテーテルを挿入し、 Ensite システム Velocity を用いてマッピングし、肺動脈の構造を確認する。パルス刺激を与えて自律神経叢の位置を確認し、 TactiCath SE イリゲーションカテーテル（Ampere 高周波発生装置で高周波を発生）を用いて自律神経叢及び解剖学的に自律神経叢があるとされる肺動脈近位部を焼灼する。その際、安全性を高めるため、イリゲーションポンプで尖端を冷却とカテーテルの接触圧を測定し手技を行う。焼灼の際には 5W から出力開始し、肺動脈圧や動脈圧、本人の疼痛を参考に 40W までを目安に出力を増やし焼灼をする。合併症としては 肺動脈穿孔、肺動脈解離、心タンポナーデ、肺動脈内血栓症、輸血を要するような大出血、反回神経麻痺が予測されるが、これまでの報告からも危険性は非常に低い。
"
