,番号,先進医療技術名,都道府県,実施している医療機関の名称
K,7,経皮的乳がんラジオ波焼灼療法　早期乳がん（長径が一・五センチメートル以下のものに限る。）,広島県,地方独立行政法人広島市立病院機構　広島市立広島市民病院
K,7,経皮的乳がんラジオ波焼灼療法　早期乳がん（長径が一・五センチメートル以下のものに限る。）,愛媛県,独立行政法人国立病院機構四国がんセンター
K,7,経皮的乳がんラジオ波焼灼療法　早期乳がん（長径が一・五センチメートル以下のものに限る。）,－,－
K,7,経皮的乳がんラジオ波焼灼療法　早期乳がん（長径が一・五センチメートル以下のものに限る。）,岐阜県,国立大学法人岐阜大学医学部附属病院
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,千葉県,独立行政法人国立がん研究センター東病院
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,東京都,国立研究開発法人 国立がん研究センター中央病院
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,愛知県,独立行政法人国立病院機構　名古屋医療センター
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,愛知県,名古屋大学医学部附属病院
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,福岡県,国立病院機構九州医療センター
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,福岡県,国立病院機構九州がんセンター
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,鹿児島県,鹿児島大学病院
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,沖縄県,琉球大学医学部附属病院
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,愛知県,愛知県厚生農業協同組合連合会豊田厚生病院
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,愛媛県,愛媛大学医学部附属病院
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,熊本県,熊本大学医学部附属病院
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,三重県,三重大学医学部附属病院
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,福岡県,福岡大学病院
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,鹿児島県,公益財団法人慈愛会　今村総合病院
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,北海道,社会医療法人北楡会　札幌北楡病院
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,長崎県,日本赤十字社　長崎原爆病院
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,福岡県,産業医科大学病院
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,長崎県,地方独立行政法人 佐世保市総合医療センター
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,8,インターフェロンα皮下投与及びジドブジン経口投与の併用療法　成人T細胞白血病リンパ腫（症候を有するくすぶり型又は予後不良因子を有さない慢性型のものに限る。）,－,－
K,9,腹腔鏡下センチネルリンパ節生検　早期胃がん,東京都,慶應義塾大学病院
K,9,腹腔鏡下センチネルリンパ節生検　早期胃がん,9,腹腔鏡下センチネルリンパ節生検　早期胃がん
K,9,腹腔鏡下センチネルリンパ節生検　早期胃がん,9,腹腔鏡下センチネルリンパ節生検　早期胃がん
K,9,腹腔鏡下センチネルリンパ節生検　早期胃がん,9,腹腔鏡下センチネルリンパ節生検　早期胃がん
K,9,腹腔鏡下センチネルリンパ節生検　早期胃がん,9,腹腔鏡下センチネルリンパ節生検　早期胃がん
K,9,腹腔鏡下センチネルリンパ節生検　早期胃がん,9,腹腔鏡下センチネルリンパ節生検　早期胃がん
K,9,腹腔鏡下センチネルリンパ節生検　早期胃がん,9,腹腔鏡下センチネルリンパ節生検　早期胃がん
K,9,腹腔鏡下センチネルリンパ節生検　早期胃がん,9,腹腔鏡下センチネルリンパ節生検　早期胃がん
K,9,腹腔鏡下センチネルリンパ節生検　早期胃がん,9,腹腔鏡下センチネルリンパ節生検　早期胃がん
K,9,腹腔鏡下センチネルリンパ節生検　早期胃がん,9,腹腔鏡下センチネルリンパ節生検　早期胃がん
K,9,腹腔鏡下センチネルリンパ節生検　早期胃がん,9,腹腔鏡下センチネルリンパ節生検　早期胃がん
K,9,腹腔鏡下センチネルリンパ節生検　早期胃がん,9,腹腔鏡下センチネルリンパ節生検　早期胃がん
K,9,腹腔鏡下センチネルリンパ節生検　早期胃がん,9,腹腔鏡下センチネルリンパ節生検　早期胃がん
K,9,腹腔鏡下センチネルリンパ節生検　早期胃がん,9,腹腔鏡下センチネルリンパ節生検　早期胃がん
K,神奈川県,東海大学医学部付属病院 ,9,腹腔鏡下センチネルリンパ節生検　早期胃がん
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,10,,-,-
K,11,FDGを用いたポジトロン断層撮影によるアルツハイマー病の診断　アルツハイマー病,愛知県,独立行政法人　国立長寿医療研究センター
K,11,FDGを用いたポジトロン断層撮影によるアルツハイマー病の診断　アルツハイマー病,大阪府,近畿大学病院
K,11,FDGを用いたポジトロン断層撮影によるアルツハイマー病の診断　アルツハイマー病,広島県,独立行政法人国立病院機構　広島西医療センター
K,11,FDGを用いたポジトロン断層撮影によるアルツハイマー病の診断　アルツハイマー病,大分県,大分大学医学部附属病院
K,11,FDGを用いたポジトロン断層撮影によるアルツハイマー病の診断　アルツハイマー病,静岡県,浜松医科大学医学部附属病院
K,11,FDGを用いたポジトロン断層撮影によるアルツハイマー病の診断　アルツハイマー病,岡山県,川崎医科大学附属病院
K,11,FDGを用いたポジトロン断層撮影によるアルツハイマー病の診断　アルツハイマー病,東京都,地方独立行政法人東京都健康長寿医療センター
K,11,FDGを用いたポジトロン断層撮影によるアルツハイマー病の診断　アルツハイマー病,福岡県,産業医科大学病院
K,11,FDGを用いたポジトロン断層撮影によるアルツハイマー病の診断　アルツハイマー病,東京都,国立研究開発法人国立精神・神経医療研究センター
K,11,FDGを用いたポジトロン断層撮影によるアルツハイマー病の診断　アルツハイマー病,岡山県,一般財団法人操風会　岡山旭東病院
K,11,FDGを用いたポジトロン断層撮影によるアルツハイマー病の診断　アルツハイマー病,愛知県,名古屋大学医学部附属病院
K,12,全身性エリテマトーデスに対する初回副腎皮質ホルモン治療におけるクロピドグレル硫酸塩、ピタバスタチンカルシウム及びトコフェロール酢酸エステル併用投与の大腿骨頭壊死発症抑制療法　全身性エリテマトーデス（初回の副腎皮質ホルモン治療を行っている者に係るものに限る。）,福岡県,九州大学病院
K,12,全身性エリテマトーデスに対する初回副腎皮質ホルモン治療におけるクロピドグレル硫酸塩、ピタバスタチンカルシウム及びトコフェロール酢酸エステル併用投与の大腿骨頭壊死発症抑制療法　全身性エリテマトーデス（初回の副腎皮質ホルモン治療を行っている者に係るものに限る。）,東京都,慶應義塾大学病院
K,12,全身性エリテマトーデスに対する初回副腎皮質ホルモン治療におけるクロピドグレル硫酸塩、ピタバスタチンカルシウム及びトコフェロール酢酸エステル併用投与の大腿骨頭壊死発症抑制療法　全身性エリテマトーデス（初回の副腎皮質ホルモン治療を行っている者に係るものに限る。）,北海道,北海道大学病院
K,12,全身性エリテマトーデスに対する初回副腎皮質ホルモン治療におけるクロピドグレル硫酸塩、ピタバスタチンカルシウム及びトコフェロール酢酸エステル併用投与の大腿骨頭壊死発症抑制療法　全身性エリテマトーデス（初回の副腎皮質ホルモン治療を行っている者に係るものに限る。）,千葉県,千葉大学医学部附属病院
K,12,全身性エリテマトーデスに対する初回副腎皮質ホルモン治療におけるクロピドグレル硫酸塩、ピタバスタチンカルシウム及びトコフェロール酢酸エステル併用投与の大腿骨頭壊死発症抑制療法　全身性エリテマトーデス（初回の副腎皮質ホルモン治療を行っている者に係るものに限る。）,京都府,京都大学医学部附属病院
K,12,全身性エリテマトーデスに対する初回副腎皮質ホルモン治療におけるクロピドグレル硫酸塩、ピタバスタチンカルシウム及びトコフェロール酢酸エステル併用投与の大腿骨頭壊死発症抑制療法　全身性エリテマトーデス（初回の副腎皮質ホルモン治療を行っている者に係るものに限る。）,埼玉県,埼玉医科大学総合医療センター
K,12,全身性エリテマトーデスに対する初回副腎皮質ホルモン治療におけるクロピドグレル硫酸塩、ピタバスタチンカルシウム及びトコフェロール酢酸エステル併用投与の大腿骨頭壊死発症抑制療法　全身性エリテマトーデス（初回の副腎皮質ホルモン治療を行っている者に係るものに限る。）,東京都,順天堂大学医学部附属順天堂医院
K,12,全身性エリテマトーデスに対する初回副腎皮質ホルモン治療におけるクロピドグレル硫酸塩、ピタバスタチンカルシウム及びトコフェロール酢酸エステル併用投与の大腿骨頭壊死発症抑制療法　全身性エリテマトーデス（初回の副腎皮質ホルモン治療を行っている者に係るものに限る。）,新潟県,新潟大学医歯学総合病院
K,12,全身性エリテマトーデスに対する初回副腎皮質ホルモン治療におけるクロピドグレル硫酸塩、ピタバスタチンカルシウム及びトコフェロール酢酸エステル併用投与の大腿骨頭壊死発症抑制療法　全身性エリテマトーデス（初回の副腎皮質ホルモン治療を行っている者に係るものに限る。）,福岡県,福岡大学病院
K,12,全身性エリテマトーデスに対する初回副腎皮質ホルモン治療におけるクロピドグレル硫酸塩、ピタバスタチンカルシウム及びトコフェロール酢酸エステル併用投与の大腿骨頭壊死発症抑制療法　全身性エリテマトーデス（初回の副腎皮質ホルモン治療を行っている者に係るものに限る。）,福岡県,産業医科大学病院
K,12,全身性エリテマトーデスに対する初回副腎皮質ホルモン治療におけるクロピドグレル硫酸塩、ピタバスタチンカルシウム及びトコフェロール酢酸エステル併用投与の大腿骨頭壊死発症抑制療法　全身性エリテマトーデス（初回の副腎皮質ホルモン治療を行っている者に係るものに限る。）,佐賀県,佐賀大学医学部付属病院
K,13,NKT細胞を用いた免疫療法　肺がん（小細胞肺がんを除き、ステージがⅡA期、ⅡB期又はⅢA期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,愛知県,独立行政法人　国立病院機構　名古屋医療センター
K,13,NKT細胞を用いた免疫療法　肺がん（小細胞肺がんを除き、ステージがⅡA期、ⅡB期又はⅢA期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,福岡県,国立病院機構九州がんセンター
K,13,NKT細胞を用いた免疫療法　肺がん（小細胞肺がんを除き、ステージがⅡA期、ⅡB期又はⅢA期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,岐阜県,国立病院機構長良医療センター
K,13,NKT細胞を用いた免疫療法　肺がん（小細胞肺がんを除き、ステージがⅡA期、ⅡB期又はⅢA期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,三重県,国立病院機構三重中央医療センター
K,13,NKT細胞を用いた免疫療法　肺がん（小細胞肺がんを除き、ステージがⅡA期、ⅡB期又はⅢA期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,大阪府,国立病院機構大阪医療センター
K,13,NKT細胞を用いた免疫療法　肺がん（小細胞肺がんを除き、ステージがⅡA期、ⅡB期又はⅢA期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,山口県,国立病院機構山口宇部医療センター
K,13,NKT細胞を用いた免疫療法　肺がん（小細胞肺がんを除き、ステージがⅡA期、ⅡB期又はⅢA期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,愛媛県,国立病院機構四国がんセンター
K,13,NKT細胞を用いた免疫療法　肺がん（小細胞肺がんを除き、ステージがⅡA期、ⅡB期又はⅢA期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,福岡県,国立病院機構九州医療センター
K,13,NKT細胞を用いた免疫療法　肺がん（小細胞肺がんを除き、ステージがⅡA期、ⅡB期又はⅢA期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,福岡県,国立病院機構福岡病院
K,13,NKT細胞を用いた免疫療法　肺がん（小細胞肺がんを除き、ステージがⅡA期、ⅡB期又はⅢA期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,福岡県,国立病院機構福岡東医療センター
K,13,NKT細胞を用いた免疫療法　肺がん（小細胞肺がんを除き、ステージがⅡA期、ⅡB期又はⅢA期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,佐賀県,国立病院機構嬉野医療センター
K,13,NKT細胞を用いた免疫療法　肺がん（小細胞肺がんを除き、ステージがⅡA期、ⅡB期又はⅢA期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,長崎県,国立病院機構長崎医療センター
K,13,NKT細胞を用いた免疫療法　肺がん（小細胞肺がんを除き、ステージがⅡA期、ⅡB期又はⅢA期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,大分県,国立病院機構別府医療センター
K,13,NKT細胞を用いた免疫療法　肺がん（小細胞肺がんを除き、ステージがⅡA期、ⅡB期又はⅢA期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,大分県,国立病院機構大分医療センター
K,13,NKT細胞を用いた免疫療法　肺がん（小細胞肺がんを除き、ステージがⅡA期、ⅡB期又はⅢA期であって、肉眼による観察及び病理学的見地から完全に切除されたと判断されるものに限る。）,鹿児島県,国立病院機構南九州病院
K,14,腹膜偽粘液腫に対する完全減量切除術における術中のマイトマイシンＣ腹腔内投与及び術後のフルオロウラシル腹腔内投与の併用療法　腹膜偽粘液腫（画像検査により肝転移及びリンパ節転移が認められないものであって、放射線治療を行っていないものに限る。）,東京都,国立国際医療研究センター病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),静岡県,静岡県立静岡がんセンター
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),岐阜県,岐阜大学医学部附属病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),兵庫県,兵庫医科大学病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),徳島県,徳島赤十字病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),北海道,社会福祉法人函館厚生院　函館五稜郭病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),山形県,山形県立中央病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),新潟県,新潟県立がんセンタ一新潟病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),大阪府,近畿大学病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),兵庫県,兵庫県立がんセンター
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),和歌山県,和歌山県立医科大学附属病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),栃木県,地方独立行政法人栃木県立がんセンター
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),神奈川県,神奈川県立がんセンター
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),兵庫県,独立行政法人労働者健康安全機構　関西労災病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),大阪府,大阪医科大学附属病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),大阪府,市立豊中病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),大阪府,地方独立行政法人大阪府立病院機構 大阪急性期・総合医療センター
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),兵庫県,市立伊丹病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),富山県,富山県立中央病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),静岡県,地方独立行政法人静岡県立病院機構　静岡県立総合病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),京都府,独立行政法人国立病院機構　京都医療センター
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),大阪府,地方独立行政法人大阪府立病院機構　大阪国際がんセンター
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),広島県,広島大学病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),北海道,社会医療法人　恵佑会札幌病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),愛知県,名古屋大学医学部附属病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),岩手県,岩手医科大学附属病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),宮城県,独立行政法人国立病院機構　仙台医療センター
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),新潟県,長岡中央綜合病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),大阪府,関西医科大学附属病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),広島県,地方独立行政法人広島市立病院機構　広島市立広島市民病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),東京都,東京医科歯科大学医学部附属病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),東京都,国立がん研究センター中央病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),神奈川県,北里大学病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),石川県,石川県立中央病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),愛知県,愛知県がんセンター
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),大阪府,独立行政法人労働者健康安全機構　大阪労災病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),広島県,地方独立行政法人広島市立病院機構　広島市立安佐市民病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),埼玉県,埼玉医科大学国際医療センター
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),千葉県,国立研究開発法人　国立がん研究センター東病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),大分県,大分大学医学部附属病院
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),埼玉県,埼玉県立がんセンター
K,15,術前のS－1内服投与、シスプラチン静脈内投与及びトラスツズマブ静脈内投与の併用療法　切除が可能な高度リンパ節転移を伴う胃がん(HER2が陽性のものに限る。),岐阜県,岐阜市民病院
